OBJECTID,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,LOCERROR,SHAPELEN
38,11000162,0,68.23001061,2016-01-01T00:00:00.000Z,,{4807E5D7-C0EC-4B4F-9919-6A9E6713CB3E},2000,2016,NO ERROR,68.2300265576904
39,11000162,68.23001061,139.60707034,2016-01-01T00:00:00.000Z,,{6C2857DB-9CAB-4327-9CBA-DE99C6A3680D},2000,2016,NO ERROR,71.3771241106316
40,11000202,3094.57773556,3113.82721291,2016-01-01T00:00:00.000Z,,{EE35AC21-55E8-4DE8-987E-A1F6F70C7BE5},2000,2016,NO ERROR,19.2495053422212
41,11000202,1735.27615908,1747.23988417,2016-01-01T00:00:00.000Z,,{669D21A2-1C08-4E13-9AD7-FF41195ADEC7},2000,2016,NO ERROR,11.9636371313308
42,11000202,2756.99711659,2798.87804233,2016-01-01T00:00:00.000Z,,{880AE3AF-CE06-4606-AE1C-F25F6FACFA3F},2000,2016,NO ERROR,41.8808632307868
43,11000202,1331.88894397,1384.30559126,2016-01-01T00:00:00.000Z,,{3CB25F4B-9D19-40CD-BD7E-3F3262008ACE},2000,2016,NO ERROR,52.4166461622417
44,11000202,2910.45757927,2972.46761424,2016-01-01T00:00:00.000Z,,{6E12686F-8027-4F37-B3C5-968B65C2F504},2000,2016,NO ERROR,62.0100188742354
45,11000202,3552.79754598,3600.76052001,2016-01-01T00:00:00.000Z,,{2D9490E1-528E-4B3A-9879-342F3EC2BC3C},2000,2016,NO ERROR,47.9629787869136
46,11000202,1913.27560766,2039.97364285,2016-01-01T00:00:00.000Z,,{478B4EAE-0DE2-4583-B16E-A753A91AC790},2000,2016,NO ERROR,126.698048604661
47,11000202,1193.62917541,1216.96496937,2016-01-01T00:00:00.000Z,,{227A420D-C97A-4A91-AF09-A7BE432C74F0},2000,2016,NO ERROR,23.3357667728941
48,11000202,807.46001093,853.50205392,2016-01-01T00:00:00.000Z,,{A7CDA725-D2EB-42B0-A6B9-51895738938D},2000,2016,NO ERROR,46.0420434485387
49,11000202,499.94066715,601.60246703,2016-01-01T00:00:00.000Z,,{43A58743-5A9F-46CB-B860-59E49A50A711},12457,2016,NO ERROR,101.66173973359
50,11000202,2868.7797884,2910.45757927,2016-01-01T00:00:00.000Z,,{E9A505CD-4AB5-49E5-94CD-B413126AAF47},2000,2016,NO ERROR,41.6777547269392
51,11000202,1260.42107161,1331.88894397,2016-01-01T00:00:00.000Z,,{5D8CEE02-B121-419C-912C-E44A61B59326},2000,2016,NO ERROR,71.4678878088394
52,11000202,984.9996392,1036.73455574,2016-01-01T00:00:00.000Z,,{D185B2F7-BE95-4D33-A893-A352FA25FDC9},2000,2016,NO ERROR,51.7348422338879
53,11000202,1548.43016207,1557.72298687,2016-01-01T00:00:00.000Z,,{C509537A-3DD9-441B-8A3A-37DB1E0AB723},2000,2016,NO ERROR,9.29279290633338
54,11000202,3113.82721291,3160.46786541,2016-01-01T00:00:00.000Z,,{94E207DA-BEAE-4B01-A369-C00452DB9DE8},2000,2016,NO ERROR,46.6407014169783
55,11000202,3028.92774684,3094.57773556,2016-01-01T00:00:00.000Z,,{B439273D-D084-4F55-92C7-EDE4204A4C3A},2000,2016,NO ERROR,65.650004675255
56,11000202,2518.46387809,2558.38205006,2016-01-01T00:00:00.000Z,,{BB1F418C-509F-42F6-9EFB-59B1B2210011},2000,2016,NO ERROR,39.9181529275646
57,11000202,421.21986957,499.94066715,2016-01-01T00:00:00.000Z,,{D5DD2786-4C56-4457-B5D9-ADD35EAC028B},2000,2016,NO ERROR,78.7208420317981
58,11000202,2719.58296552,2756.99711659,2016-01-01T00:00:00.000Z,,{7566D527-2E7A-4D00-BE07-52FC8A87B16F},2000,2016,NO ERROR,37.4141906982096
59,11000202,195.33872173,421.21986957,2016-01-01T00:00:00.000Z,,{0A5A68CE-AA33-4464-892C-B22482CD845C},2000,2016,NO ERROR,225.881091023918
60,11000202,2600.27286157,2638.0243526,2016-01-01T00:00:00.000Z,,{416598DE-C7EC-4733-B48F-AFCDFA4D95ED},2000,2016,NO ERROR,37.751475364409
61,11000202,1136.80867662,1180.64159954,2016-01-01T00:00:00.000Z,,{EF794923-D479-445F-ACC3-03EE822B4114},2000,2016,NO ERROR,43.8329082958207
62,11000202,2798.87804233,2868.7797884,2016-01-01T00:00:00.000Z,,{FED94165-94D4-4964-9914-F50BF11FC843},2000,2016,NO ERROR,69.9018136615831
63,11000202,2558.38205006,2600.27286157,2016-01-01T00:00:00.000Z,,{125D459B-AA88-49B4-8AD0-D49F1CCA1F32},2000,2016,NO ERROR,41.8908461416043
64,11000202,2156.28249986,2285.88335212,2016-01-01T00:00:00.000Z,,{2125D30B-0194-48B7-9D1A-6770B8EDE89F},2000,2016,NO ERROR,129.600851913208
65,11000202,3160.46786541,3216.1242996,2016-01-01T00:00:00.000Z,,{65603064-35CB-4A6A-98BB-6BEB9A2919D4},2000,2016,NO ERROR,55.6563367705436
66,11000202,1384.30559126,1446.23213637,2016-01-01T00:00:00.000Z,,{48D87886-2F7C-443B-9786-94D426D18F02},2000,2016,NO ERROR,61.9265929915823
67,11000202,2039.97364285,2156.28249986,2016-01-01T00:00:00.000Z,,{46EFE35C-0DAA-4F40-B59B-EBB8CF865F9F},2000,2016,NO ERROR,116.3088910156
68,11000202,1446.23213637,1467.14027626,2016-01-01T00:00:00.000Z,,{674F4762-A5F5-4C4E-99AB-E288491ACAA4},2000,2016,NO ERROR,20.9080440864989
69,11000202,3641.40769675,3718.99769803,2016-01-01T00:00:00.000Z,,{C7225074-B963-45CD-9EFE-F59FC1EB3D42},2000,2016,NO ERROR,77.5900210901303
70,11000202,3419.89712237,3552.79754598,2016-01-01T00:00:00.000Z,,{F6B9B1CF-2A8D-44C9-9BCB-AC4994EBADA5},2000,2016,NO ERROR,132.900423444958
71,11000202,853.50205392,935.9411742,2016-01-01T00:00:00.000Z,,{E4C22DE8-91AF-427C-9BD2-4FE80A18465C},2000,2016,NO ERROR,82.4391375795692
72,11000202,3600.76052001,3641.40769675,2016-01-01T00:00:00.000Z,,{7C8380C0-9126-455E-A779-374C5346751E},2000,2016,NO ERROR,40.6471562561053
73,11000202,3291.5681983,3338.51511678,2016-01-01T00:00:00.000Z,,{01B4920D-C893-4C4F-B2FC-EEE0DCE3BC12},2000,2016,NO ERROR,46.9469134076674
74,11000202,601.60246703,807.46001093,2016-01-01T00:00:00.000Z,,{3E6FAFA8-39DF-41E2-B937-19C2B3A5D9B7},12457,2016,NO ERROR,205.857559061412
75,11000202,3216.1242996,3291.5681983,2016-01-01T00:00:00.000Z,,{9500931F-CCB7-4DCD-81BA-707DEE9B5400},2000,2016,NO ERROR,75.4439029584835
76,11000202,2972.46761424,3028.92774684,2016-01-01T00:00:00.000Z,,{784FDCD4-2098-49DF-B657-F525383CD970},2000,2016,NO ERROR,56.4601326040115
77,11000202,1503.27003479,1548.43016207,2016-01-01T00:00:00.000Z,,{6C8B2E68-CF13-4962-8388-476B10245CCF},2000,2016,NO ERROR,45.1601618376783
78,11000202,3338.51511678,3419.89712237,2016-01-01T00:00:00.000Z,,{6438F6A8-A3CC-43F5-8B89-9C2198DC809B},2000,2016,NO ERROR,81.3819919045157
79,11000202,1837.96251754,1867.86722762,2016-01-01T00:00:00.000Z,,{0675A617-91EF-400C-8F7E-9AD9B348346D},2000,2016,NO ERROR,29.9046127865644
80,11000202,3760.03396567,3794.17387863,2016-01-01T00:00:00.000Z,,{E009FCE2-95BC-4E96-A555-781217A98199},2000,2016,NO ERROR,34.1399292891728
81,11000202,1036.73455574,1101.41878,2016-01-01T00:00:00.000Z,,{709FF483-B6AE-45D3-ABC6-07F946374057},2000,2016,NO ERROR,64.6842269864243
82,11000202,148.68373873,195.33872173,2016-01-01T00:00:00.000Z,,{21B06BF8-BFA9-46BA-B105-BA7D84180E9F},2000,2016,NO ERROR,46.6549626762702
83,11000202,1747.23988417,1791.49279963,2016-01-01T00:00:00.000Z,,{B906F10E-FC80-473C-A756-0728E4EC0FF0},2000,2016,NO ERROR,44.2529240850599
84,11000202,116.82554592,148.68373873,2016-01-01T00:00:00.000Z,,{843160FF-AA34-43CA-8F68-9CA47846474F},2000,2016,NO ERROR,31.8582252502314
85,11000202,2638.0243526,2719.58296552,2016-01-01T00:00:00.000Z,,{E456006E-B3AB-44CA-8657-A4528E8A23C6},2000,2016,NO ERROR,81.5585727413056
86,11000202,1216.96496937,1260.42107161,2016-01-01T00:00:00.000Z,,{FC162E4D-FDBF-48CB-BC98-87B95B591975},2000,2016,NO ERROR,43.456082199867
87,11000202,1180.64159954,1193.62917541,2016-01-01T00:00:00.000Z,,{604BF75E-45CD-4D67-A08A-7C25F38889C5},2000,2016,NO ERROR,12.9876070800284
88,11000202,1867.86722762,1913.27560766,2016-01-01T00:00:00.000Z,,{093FE211-E834-4C7C-B13E-A96153060CD4},2000,2016,NO ERROR,45.4084395918706
89,11000202,1620.84160143,1669.87755636,2016-01-01T00:00:00.000Z,,{07DAA5E7-CA3A-46C2-B980-4550DFCB55E1},2000,2016,NO ERROR,49.0359544116518
90,11000202,1669.87755636,1708.81606852,2016-01-01T00:00:00.000Z,,{D2B250B7-162E-4D68-996E-1C6C56435A13},2000,2016,PARTIAL MATCH FOR THE FROM-MEASURE,38.938499023316
91,11000202,1557.72298687,1580.64759886,2016-01-01T00:00:00.000Z,,{0CFA8DE4-3AD0-4C95-B8ED-B876F1CFC637},2000,2016,NO ERROR,22.92465094285
92,11000202,2484.34206565,2518.46387809,2016-01-01T00:00:00.000Z,,{91D3CC2F-D6BD-4D5D-860F-BFCE3F8DFED7},2000,2016,NO ERROR,34.1217806860934
93,11000202,1791.49279963,1837.96251754,2016-01-01T00:00:00.000Z,,{DE5B39C9-3078-4665-AA61-96EA50A0069F},2000,2016,NO ERROR,46.4697741827815
94,11000202,1580.64759886,1620.84160143,2016-01-01T00:00:00.000Z,,{6CF9A5B2-FE42-4F79-AAA9-94FE951DB683},2000,2016,NO ERROR,40.193958990376
95,11000202,1467.14027626,1503.27003479,2016-01-01T00:00:00.000Z,,{D67E691E-4CFE-4FA5-B1DE-5FDD22C49B4E},2000,2016,NO ERROR,36.129807541478
96,11000202,1708.81606852,1735.27615908,2016-01-01T00:00:00.000Z,,{7E60CE09-E74B-4FDF-934B-693BB5BEF648},2000,2016,NO ERROR,26.4601826701412
97,11000202,3718.99769803,3760.03396567,2016-01-01T00:00:00.000Z,,{33967CF6-4D3C-4E9F-A8D8-046BD8B17379},2000,2016,NO ERROR,41.0362325202448
