OBJECTID,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,AADT,AADT_YEAR,LOCERROR,SHAPELEN
72,11000132,48.98964824,124.9806,2017-01-01T00:00:00.000Z,,{45701827-8467-438A-9768-E435F8D06566},2000,2017,NO ERROR,75.9909296787793
73,11000132,124.9816,246.2796998,2017-01-01T00:00:00.000Z,,{72485E45-7D21-461A-9DD7-4F46EC86E445},2000,2017,NO ERROR,121.299094901934
74,11000132,246.2807,288.5905408,2017-01-01T00:00:00.000Z,,{8D190369-AD8A-428A-B0A6-29690B3DCA94},2000,2017,NO ERROR,42.3108418712266
75,11000132,288.5905408,321.2467972,2017-01-01T00:00:00.000Z,,{1000F098-7268-4D82-B74A-A5D9C3254FC9},2000,2017,NO ERROR,32.656252008758
76,11000132,321.2467972,365.411075,2017-01-01T00:00:00.000Z,,{2E4C981C-0401-4A3E-8CE8-D67698F14AF5},2000,2017,NO ERROR,44.164297088914
77,11000162,0,68.23,2017-01-01T00:00:00.000Z,,{9BE6BFA2-6275-4D58-8B35-017FC8E4D000},2000,2017,NO ERROR,68.2300265576904
78,11000162,68.231,139.6070703,2017-01-01T00:00:00.000Z,,{DD849BDC-0CF2-46E8-8775-3AF416DD82B2},2000,2017,NO ERROR,71.3771241106316
79,11000162,139.6070703,192.8482,2017-01-01T00:00:00.000Z,,{BE06BC57-07BB-4A49-BC98-20DE511BD674},2000,2017,NO ERROR,53.241120286323
80,11000202,0,116.8255459,2017-01-01T00:00:00.000Z,,{C70F1E73-6FDD-4892-BF4B-DF53A24520CB},2000,2017,NO ERROR,116.825513304702
81,11000202,116.8255459,148.6837,2017-01-01T00:00:00.000Z,,{D05BB594-0FAE-40A8-859F-0B64C151CF47},2000,2017,NO ERROR,31.8582252502314
82,11000202,148.6847,195.3387217,2017-01-01T00:00:00.000Z,,{1F554A8E-0BA5-46DB-9D85-ECE9F07F7DB4},2000,2017,NO ERROR,46.6549626762702
83,11000202,195.3387217,421.2198696,2017-01-01T00:00:00.000Z,,{516CD537-0D47-4E0C-8929-A2CB584EED25},2000,2017,NO ERROR,225.881091023918
84,11000202,421.2198696,499.9406672,2017-01-01T00:00:00.000Z,,{AF28B0C4-3286-4B7A-B470-EC7D651F87FD},2000,2017,NO ERROR,78.7208420317981
85,11000202,499.9411,601.602467,2017-01-01T00:00:00.000Z,,{60C90D45-D4C6-419B-B760-46F0B120E751},8856,2017,NO ERROR,101.66173973359
86,11000202,601.602467,807.46,2017-01-01T00:00:00.000Z,,{3535B923-503D-481C-A1C5-5E2018C29C82},8856,2017,NO ERROR,205.857559061412
87,11000202,807.461,853.5020539,2017-01-01T00:00:00.000Z,,{694BFAEE-35DD-4AB0-865B-4F7C8119E26F},2000,2017,NO ERROR,46.0420434485387
88,11000202,853.5020539,935.9411742,2017-01-01T00:00:00.000Z,,{327D2704-A7DE-4C2D-A0FD-8D5042AF736B},2000,2017,NO ERROR,82.4391375795692
89,11000202,935.9411742,984.9996392,2017-01-01T00:00:00.000Z,,{D2681259-E3B3-4900-A033-5A8202BA17D1},2000,2017,NO ERROR,49.0585199291675
90,11000202,984.9996392,1036.734556,2017-01-01T00:00:00.000Z,,{EBEE7AA6-67BC-41C4-A73F-D8C1E414F6D0},2000,2017,NO ERROR,51.7348422338879
91,11000202,1036.734556,1101.41878,2017-01-01T00:00:00.000Z,,{3B87D8F1-D66C-4077-BDA1-0BE13AE2535A},2000,2017,NO ERROR,64.6842269864243
92,11000202,1101.41878,1136.808677,2017-01-01T00:00:00.000Z,,{2C106622-821B-4BFB-A694-3D297C5CFFC1},2000,2017,NO ERROR,35.3899112163864
93,11000202,1136.808677,1180.6416,2017-01-01T00:00:00.000Z,,{A100B24B-CECD-4FDD-8DD1-DC0575E88126},2000,2017,NO ERROR,43.8329082958207
94,11000202,1180.6416,1193.629175,2017-01-01T00:00:00.000Z,,{B55FA4BB-3BC3-4F2E-8C3A-851C53A2C6F3},2000,2017,NO ERROR,12.9876070800284
95,11000202,1193.629175,1216.964969,2017-01-01T00:00:00.000Z,,{D2A12D75-A94E-48D9-B66C-9852FCF968DD},2000,2017,NO ERROR,23.3357667728941
96,11000202,1216.964969,1260.421072,2017-01-01T00:00:00.000Z,,{539D9AE1-7EA1-4B9D-9498-636A68C4F4D9},2000,2017,NO ERROR,43.456082199867
97,11000202,1260.421072,1331.888944,2017-01-01T00:00:00.000Z,,{C6495742-B317-48F2-96B7-72726FCA30AB},2000,2017,NO ERROR,71.4678878088394
98,11000202,1331.888944,1384.305591,2017-01-01T00:00:00.000Z,,{9C69B600-4178-46EE-A7AD-6997BCADD2FF},2000,2017,NO ERROR,52.4166461622417
99,11000202,1384.305591,1446.232136,2017-01-01T00:00:00.000Z,,{3C7C6F2E-F8FB-4086-A588-BAD78E098C83},2000,2017,NO ERROR,61.9265929915823
100,11000202,1446.232136,1467.140276,2017-01-01T00:00:00.000Z,,{28265E4C-56D2-4FC0-9531-DED32870F0A1},2000,2017,NO ERROR,20.9080440864989
101,11000202,1467.140276,1503.270035,2017-01-01T00:00:00.000Z,,{DB8F63A4-8369-4319-B308-CD959C516519},2000,2017,NO ERROR,36.129807541478
102,11000202,1503.270035,1548.430162,2017-01-01T00:00:00.000Z,,{2ED9F42A-7163-4BA5-BDDE-C6E70A8F1050},2000,2017,NO ERROR,45.1601618376783
103,11000202,1548.430162,1557.722987,2017-01-01T00:00:00.000Z,,{09AB950B-C78E-4CE2-BEC8-2ABCA887159B},2000,2017,NO ERROR,9.29279290633338
104,11000202,1557.722987,1580.647599,2017-01-01T00:00:00.000Z,,{28FA2B28-6E60-4675-BD31-213AB69E57F7},2000,2017,NO ERROR,22.92465094285
105,11000202,1580.647599,1620.841601,2017-01-01T00:00:00.000Z,,{03D3F71D-5610-41F0-82B7-90439C92445F},2000,2017,NO ERROR,40.193958990376
106,11000202,1620.841601,1669.877556,2017-01-01T00:00:00.000Z,,{799BEEE4-9D41-477B-A2FA-D1847F0E1F64},2000,2017,NO ERROR,49.0359544116518
107,11000202,1669.8786,1708.816069,2017-01-01T00:00:00.000Z,,{392C3AE0-2405-44DB-B302-BF8D1E822239},2000,2017,NO ERROR,38.938499023316
108,11000202,1708.816069,1735.276159,2017-01-01T00:00:00.000Z,,{845001D0-C5D8-48C1-9FCF-4C4390A86436},2000,2017,NO ERROR,26.4601826701412
109,11000202,1735.276159,1747.239884,2017-01-01T00:00:00.000Z,,{651D7483-89D9-4F36-B98F-DFAF9C4624F0},2000,2017,NO ERROR,11.9636371313308
110,11000202,1747.239884,1791.4928,2017-01-01T00:00:00.000Z,,{85530909-16CF-4400-89F6-AED778BAD1A7},2000,2017,NO ERROR,44.2529240850599
111,11000202,1791.4928,1837.962518,2017-01-01T00:00:00.000Z,,{E4997E62-10FA-4959-875F-BF97B7060A06},2000,2017,NO ERROR,46.4697741827815
112,11000202,1837.962518,1867.867228,2017-01-01T00:00:00.000Z,,{9BD228EC-C15E-432D-A79B-DF81FABB6AF6},2000,2017,NO ERROR,29.9046127865644
113,11000202,1867.867228,1913.2756,2017-01-01T00:00:00.000Z,,{AB119B05-AE78-4F30-82DF-CDA0BB2B9701},2000,2017,NO ERROR,45.4084395918706
114,11000202,1913.2766,2039.973643,2017-01-01T00:00:00.000Z,,{224B7A6D-F62A-469A-A3FA-F437C647548A},2000,2017,NO ERROR,126.698048604661
115,11000202,2039.973643,2156.2825,2017-01-01T00:00:00.000Z,,{9E2A9D42-3B8B-43CA-A66A-4EFE0159A758},2000,2017,NO ERROR,116.3088910156
116,11000202,2156.2825,2285.883352,2017-01-01T00:00:00.000Z,,{3E38E2CD-F0EA-401D-B809-898D213F346F},2000,2017,NO ERROR,129.600851913208
158,11000302,893.7111883,944.8622076,2017-01-01T00:00:00.000Z,,{3C18AF1B-4310-475E-A97B-EC037535AC97},12212,2017,NO ERROR,51.151047002998
159,11000302,944.8622076,1008.270799,2017-01-01T00:00:00.000Z,,{5D09E3B0-2D18-4150-9BDA-1FB0BF132004},12212,2017,NO ERROR,63.4085658790049
160,11000302,1008.270799,1049.548811,2017-01-01T00:00:00.000Z,,{95872D07-E432-41D1-A580-D6564CD0398A},12212,2017,NO ERROR,41.2779785977663
