OBJECTID,STREETSEG,WEEKNUMBER,HIGHSPEED_AM_NORUSH,HIGHSPEED_AM_RUSH,HIGHSPEED_EVENING,HIGHSPEED_OVERNIGHT,HIGHSPEED_PM_NORUSH,HIGHSPEED_PM_RUSH,LOWSPEED_AM_NORUSH,LOWSPEED_AM_RUSH,LOWSPEED_EVENING,LOWSPEED_NO_TIME,LOWSPEED_OVERNIGHT,LOWSPEED_PM_NORUSH,LOWSPEED_PM_RUSH,OTHER_PM_NORUSH,UNSAFEDRIVING_AM_NORUSH,UNSAFEDRIVING_AM_RUSH,UNSAFEDRIVING_EVENING,UNSAFEDRIVING_OVERNIGHT,UNSAFEDRIVING_PM_NORUSH,UNSAFEDRIVING_PM_RUSH,UNSAFEOPER_AM_NORUSH,UNSAFEOPER_AM_RUSH,UNSAFEOPER_EVENING,UNSAFEOPER_OVERNIGHT,UNSAFEOPER_PM_NORUSH,UNSAFEOPER_PM_RUSH,UNSAFEVEHICLE_OVERNIGHT,UNSAFEVEHICLE_PM_NORUSH,UNSAFEVEHICLE_PM_RUSH,REGISTEREDNAME,STREETTYPE,QUADRANT,FROMADDRESSLEFTTHEO,TOADDRESSLEFTTHEO,SHAPE_,SHAPELEN
134,11567,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,MONTANA,AVE,NE,0,0,,44.6983675216723
135,11676,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14TH,ST,NW,2100,2198,,119.050055072022
136,11828,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,18TH,ST,NW,2100,2198,,102.626262582579
137,11932,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,18TH,ST,NW,2400,2498,,236.953628618398
138,12021,1,0,0,0,0,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MASSACHUSETTS,AVE,SE,3630,3764,,304.873162508928
139,12167,1,6,3,0,0,13,0,30,33,0,0,0,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HOWARD,RD,SE,1100,1198,,256.257660889897
140,12182,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,F,ST,NW,1200,1298,,132.628884710141
141,12854,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,I,ST,SE,400,498,,63.186856094533
142,13000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,1,1,0,0,0,NEW YORK,AVE,NE,2,98,,300.558377791872
143,13030,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,14TH,ST,SE,700,720,,76.2906637990577
144,13203,1,2,0,0,1,0,1,6,7,5,0,12,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16TH,ST,NW,7700,7728,,104.515360616557
145,14265,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EISENHOWER SHERIDAN,RD,NW,,,,280.090805517906
146,14658,1,1,2,0,2,4,1,54,20,33,0,60,105,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NEW YORK,AVE,NE,1100,1198,,873.198813715552
113,9309,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CANAL,RD,NW,4800,4998,,872.375810649816
114,9450,1,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MILITARY,RD,NW,2800,2898,,110.612544204264
115,9468,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,MASSACHUSETTS,AVE,NW,600,698,,187.478467400193
116,9558,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MACARTHUR,BLVD,NW,5700,5758,,240.884537653355
117,9693,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27TH,ST,NE,2800,2898,,204.728872463417
118,9752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,IRVING,ST,NW,700,998,,262.600620876433
119,9838,1,0,0,0,0,0,0,1,2,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9TH,ST,NW,100,198,,273.353197110979
120,9851,1,5,4,0,0,11,2,55,64,0,0,0,180,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTH DAKOTA,AVE,NE,2240,2398,,342.522780880235
121,9879,1,0,0,0,0,0,0,5,2,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SOUTH DAKOTA,AVE,NE,4200,4330,,263.078682030044
122,9917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7TH,ST,NW,1200,1298,,177.210345369397
123,10010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,H,ST,NE,1300,1398,,243.250474192946
124,10245,1,0,0,1,0,0,0,22,9,8,0,14,21,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MITCH SNYDER,PL,NW,400,498,,149.6824201578
125,10289,1,0,0,0,0,0,0,6,1,2,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRANKLIN,ST,NE,700,998,,324.591486550222
126,10729,1,0,0,0,0,1,0,1,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MISSOURI,AVE,NW,600,698,,121.108533237012
127,10752,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,NEW YORK,AVE,NE,3502,3598,,1515.02524803222
128,10842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13TH,ST,NW,500,598,,134.704390759004
129,11141,1,0,0,0,0,0,0,1,0,0,0,6,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WEST VIRGINIA,AVE,NE,2000,2030,,159.966755795525
130,11177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,SOUTH DAKOTA,AVE,NE,5000,5098,,131.991936786771
131,11180,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,GEORGIA,AVE,NW,3100,3198,,109.162132520563
132,11370,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH PORTAL,DR,NW,1700,1798,,303.384759608146
133,11463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,U,ST,NW,1600,1698,,171.720285008323
